School ID,School Name,Decile,Type,Authority,Gender,Regional Council,Education Region,TA with Auckland Local Board,Total,Female,Male,M?ori,Pasifika,Asian,MELAA,Other,European/ P?keh?,International fee paying,All Funded,Alternative Education,International fee paying,Secondary-Tertiary programme,Year 1,Year 2,Year 3,Year 4,Year 5,Year 6,Year 7,Year 8,Year 9,Year 10,Year 11,Year 12,Year 13,Year 14,Year 15,Age 5,Age 6,Age 7,Age 8,Age 9,Age 10,Age 11,Age 12,Age 13,Age 14,Age 15,Age 16,Age 17,Age 18,Age 19,Age 20,Age 21,Age 22+,Level 1,Level 2,Level 3,Level 4a,Level 4b,Level 5,Taha M?ori,None,NZ M?ori,Samoan,Cook Is. M?ori,Tongan,Niue,Fijian,Tokelauan,Other Pacific,Soutth East Asian,Indian,Chinese,Other Asian,Middle Eastern,Latin American,African,Other,NZ European,Other European,International fee Paying
1,Te Kao School,2,Full Primary,State: Not integrated,Co-Ed,Northland Region,Tai Tokerau,Far North District,31,16,15,31,0,0,0,0,0,0,31,0,0,0,6,6,4,2,5,4,3,1,0,0,0,0,0,0,0,5,5,5,2,5,5,3,1,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Taipa Area School,2,Composite (Year 1-15),State: Not integrated,Co-Ed,Northland Region,Tai Tokerau,Far North District,306,150,156,238,15,1,0,0,52,0,299,7,0,0,6,12,13,18,9,17,30,41,38,49,26,29,18,0,0,6,12,13,18,10,17,30,38,37,47,26,33,17,2,0,0,0,0,16,36,11,6,50,53,67,60,238,1,12,0,0,0,0,2,1,0,0,0,0,0,0,0,52,0,0
3,Kaitaia College,2,Secondary (Year 9-15),State: Not integrated,Co-Ed,Northland Region,Tai Tokerau,Far North District,839,415,424,557,14,15,2,3,248,0,792,4,0,43,0,0,0,0,0,0,0,0,201,195,170,143,115,13,2,0,0,0,0,0,0,0,1,168,192,188,137,115,34,1,1,1,1,0,17,49,139,0,0,0,587,557,3,2,0,3,5,0,1,5,3,0,7,0,1,1,3,234,14,0
4,Whangaroa College,2,Secondary (Year 7-15),State: Not integrated,Co-Ed,Northland Region,Tai Tokerau,Far North District,120,53,67,99,3,1,0,1,16,0,117,0,0,3,0,0,0,0,0,0,17,19,22,20,13,15,12,1,1,0,0,0,0,0,0,13,20,20,21,15,13,14,1,0,0,0,3,0,0,0,0,0,78,36,3,99,0,0,1,2,0,0,0,1,0,0,0,0,0,0,1,14,2,0
5,Kerikeri High School,7,Secondary (Year 7-15),State: Not integrated,Co-Ed,Northland Region,Tai Tokerau,Far North District,"1,465",733,732,393,18,39,14,5,925,71,"1,393",1,71,0,0,0,0,0,0,0,177,191,230,220,234,212,200,1,0,0,0,0,0,0,2,151,195,201,235,225,223,190,39,3,1,0,0,0,0,0,63,74,228,0,"1,028",393,5,2,6,1,3,0,1,6,8,9,16,0,4,10,5,783,142,71
6,Broadwood Area School,1,Composite (Year 1-15),State: Not integrated,Co-Ed,Northland Region,Tai Tokerau,Far North District,116,50,66,110,0,0,0,0,6,0,116,0,0,0,5,5,1,3,6,3,10,10,20,15,15,13,10,0,0,5,5,1,3,5,4,7,10,20,15,16,14,7,3,0,0,0,1,19,97,0,0,0,0,0,0,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
7,Okaihau College,2,Secondary (Year 7-15),State: Not integrated,Co-Ed,Northland Region,Tai Tokerau,Far North District,435,230,205,312,19,1,0,0,103,0,435,0,0,0,0,0,0,0,0,0,58,76,78,71,68,50,32,2,0,0,0,0,0,0,0,51,69,83,69,70,55,31,4,1,1,0,1,0,0,0,0,40,157,0,238,312,0,0,19,0,0,0,0,1,0,0,0,0,0,0,0,100,3,0
8,Bay of Islands College,1,Secondary (Year 9-15),State: Not integrated,Co-Ed,Northland Region,Tai Tokerau,Far North District,399,217,182,345,7,3,1,2,41,0,392,7,0,0,0,0,0,0,0,0,0,0,89,101,103,65,41,0,0,0,0,0,0,0,0,0,1,84,99,103,67,38,7,0,0,0,0,51,3,17,52,0,1,0,268,345,0,3,4,0,0,0,0,2,0,0,1,0,0,1,2,41,0,0
9,Northland College,1,Secondary (Year 9-15),State: Not integrated,Co-Ed,Northland Region,Tai Tokerau,Far North District,280,129,151,263,9,2,0,0,6,0,251,6,0,23,0,0,0,0,0,0,0,0,95,58,51,44,32,0,0,0,0,0,0,0,0,0,0,81,67,50,46,31,5,0,0,0,0,0,27,26,7,78,35,78,0,263,1,3,4,0,0,0,1,2,0,0,0,0,0,0,0,6,0,0
10,Te Kura Taumata o Panguru,2,Composite (Year 1-15),State: Not integrated,Co-Ed,Northland Region,Tai Tokerau,Far North District,52,26,26,49,1,0,0,0,2,0,52,0,0,0,0,4,2,4,2,1,5,2,5,9,4,4,10,0,0,0,4,2,4,2,1,4,4,6,5,6,3,6,2,0,0,0,3,12,8,14,15,0,0,3,0,49,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0
