Year,Area,Age group,Sex,Value,Flags
"2013","Canterbury Region","Less than one year","Male",3345,
"2013","Canterbury Region","Less than one year","Female",3159,
"2013","Canterbury Region","One year","Male",3156,
"2013","Canterbury Region","One year","Female",3183,
"2013","Canterbury Region","Two years","Male",3426,
"2013","Canterbury Region","Two years","Female",3333,
"2013","Canterbury Region","Three years","Male",3588,
"2013","Canterbury Region","Three years","Female",3384,
"2013","Canterbury Region","Four years","Male",3612,
"2013","Canterbury Region","Four years","Female",3327,
"2013","Canterbury Region","Five years","Male",3555,
"2013","Canterbury Region","Five years","Female",3474,
"2013","Canterbury Region","Six years","Male",3486,
"2013","Canterbury Region","Six years","Female",3231,
"2013","Canterbury Region","Seven years","Male",3312,
"2013","Canterbury Region","Seven years","Female",3213,
"2013","Canterbury Region","Eight years","Male",3309,
"2013","Canterbury Region","Eight years","Female",3108,
"2013","Canterbury Region","Nine years","Male",3354,
"2013","Canterbury Region","Nine years","Female",3288,
"2013","Canterbury Region","10 years","Male",3258,
"2013","Canterbury Region","10 years","Female",3192,
"2013","Canterbury Region","11 years","Male",3360,
"2013","Canterbury Region","11 years","Female",3288,
"2013","Canterbury Region","12 years","Male",3474,
"2013","Canterbury Region","12 years","Female",3429,
"2013","Canterbury Region","13 years","Male",3624,
"2013","Canterbury Region","13 years","Female",3396,
"2013","Canterbury Region","14 years","Male",3504,
"2013","Canterbury Region","14 years","Female",3330,
"2013","Canterbury Region","15 years","Male",3594,
"2013","Canterbury Region","15 years","Female",3444,
"2013","Canterbury Region","16 years","Male",3690,
"2013","Canterbury Region","16 years","Female",3504,
"2013","Canterbury Region","17 years","Male",3837,
"2013","Canterbury Region","17 years","Female",3567,
"2013","Canterbury Region","18 years","Male",3984,
"2013","Canterbury Region","18 years","Female",3195,
"2013","Canterbury Region","19 years","Male",3870,
"2013","Canterbury Region","19 years","Female",3285,
"2013","Canterbury Region","20 years","Male",4080,
"2013","Canterbury Region","20 years","Female",3489,
"2013","Canterbury Region","21 years","Male",4149,
"2013","Canterbury Region","21 years","Female",3627,
"2013","Canterbury Region","22 years","Male",3993,
"2013","Canterbury Region","22 years","Female",3558,
"2013","Canterbury Region","23 years","Male",3789,
"2013","Canterbury Region","23 years","Female",3435,
"2013","Canterbury Region","24 years","Male",3534,
"2013","Canterbury Region","24 years","Female",3255,
