Area,Year,Age group,Sex,Value,Flags
"Timaru District","2013","0-4 years","Male",1362,
"Timaru District","2013","0-4 years","Female",1179,
"Timaru District","2013","5-9 years","Male",1314,
"Timaru District","2013","5-9 years","Female",1233,
"Timaru District","2013","10-14 years","Male",1443,
"Timaru District","2013","10-14 years","Female",1428,
"Timaru District","2013","15-19 years","Male",1452,
"Timaru District","2013","15-19 years","Female",1254,
"Timaru District","2013","20-24 years","Male",1071,
"Timaru District","2013","20-24 years","Female",1077,
"Timaru District","2013","25-29 years","Male",984,
"Timaru District","2013","25-29 years","Female",1029,
"Timaru District","2013","30-34 years","Male",957,
"Timaru District","2013","30-34 years","Female",1044,
"Timaru District","2013","35-39 years","Male",1128,
"Timaru District","2013","35-39 years","Female",1275,
"Timaru District","2013","40-44 years","Male",1374,
"Timaru District","2013","40-44 years","Female",1545,
"Timaru District","2013","45-49 years","Male",1494,
"Timaru District","2013","45-49 years","Female",1692,
"Timaru District","2013","50-54 years","Male",1674,
"Timaru District","2013","50-54 years","Female",1767,
"Timaru District","2013","55-59 years","Male",1527,
"Timaru District","2013","55-59 years","Female",1557,
"Timaru District","2013","60-64 years","Male",1524,
"Timaru District","2013","60-64 years","Female",1548,
"Timaru District","2013","65-69 years","Male",1254,
"Timaru District","2013","65-69 years","Female",1335,
"Timaru District","2013","70-74 years","Male",1041,
"Timaru District","2013","70-74 years","Female",1143,
"Timaru District","2013","75-79 years","Male",744,
"Timaru District","2013","75-79 years","Female",924,
"Timaru District","2013","80-84 years","Male",609,
"Timaru District","2013","80-84 years","Female",747,
"Timaru District","2013","85-89 years","Male",285,
"Timaru District","2013","85-89 years","Female",534,
"Timaru District","2013","90-94 years","Male",84,
"Timaru District","2013","90-94 years","Female",228,
"Timaru District","2013","17 years","Male",330,
"Timaru District","2013","17 years","Female",318,
"Timaru District","2013","18 years","Male",261,
"Timaru District","2013","18 years","Female",177,
"Timaru District","2013","19 years","Male",243,
"Timaru District","2013","19 years","Female",153,
"Timaru District","2013","20 years","Male",243,
"Timaru District","2013","20 years","Female",204,
"Timaru District","2013","95-99 years","Male",21,
"Timaru District","2013","95-99 years","Female",48,
"Timaru District","2013","100 years and over","Male",3,
"Timaru District","2013","100 years and over","Female",9,
"Timaru District","2013","Less than one year","Male",264,
"Timaru District","2013","Less than one year","Female",228,
"Timaru District","2013","One year","Male",249,
"Timaru District","2013","One year","Female",225,
"Timaru District","2013","Two years","Male",267,
"Timaru District","2013","Two years","Female",237,
"Timaru District","2013","Three years","Male",294,
"Timaru District","2013","Three years","Female",249,
"Timaru District","2013","Four years","Male",288,
"Timaru District","2013","Four years","Female",237,
"Timaru District","2013","Five years","Male",273,
"Timaru District","2013","Five years","Female",261,
"Timaru District","2013","Six years","Male",267,
"Timaru District","2013","Six years","Female",255,
"Timaru District","2013","Seven years","Male",282,
"Timaru District","2013","Seven years","Female",222,
"Timaru District","2013","Eight years","Male",228,
"Timaru District","2013","Eight years","Female",228,
"Timaru District","2013","Nine years","Male",264,
"Timaru District","2013","Nine years","Female",264,
