Year,Area,Sex,Age,Value,Flags
"2013","Timaru District","Total people, sex","Total people, age group",44547,
"2013","Timaru District","Total people, sex","0-4 years",2553,
"2013","Timaru District","Total people, sex","5-9 years",2547,
"2013","Timaru District","Total people, sex","10-14 years",2940,
"2013","Timaru District","Total people, sex","15-19 years",2802,
"2013","Timaru District","Total people, sex","20-24 years",2208,
"2013","Timaru District","Total people, sex","25-29 years",2085,
"2013","Timaru District","Total people, sex","30-34 years",2046,
"2013","Timaru District","Total people, sex","35-39 years",2424,
"2013","Timaru District","Total people, sex","40-44 years",2928,
"2013","Timaru District","Total people, sex","45-49 years",3183,
"2013","Timaru District","Total people, sex","50-54 years",3468,
"2013","Timaru District","Total people, sex","55-59 years",3129,
"2013","Timaru District","Total people, sex","60-64 years",3123,
"2013","Timaru District","Total people, sex","65-69 years",2658,
"2013","Timaru District","Total people, sex","70-74 years",2217,
"2013","Timaru District","Total people, sex","75-79 years",1677,
"2013","Timaru District","Total people, sex","80-84 years",1356,
"2013","Timaru District","Total people, sex","85-89 years",813,
"2013","Timaru District","Total people, sex","90-94 years",312,
"2013","Timaru District","Total people, sex","95-99 years",66,
"2013","Timaru District","Total people, sex","100 years and over",15,
"2013","Timaru District","Total people, sex","Less than one year",501,
"2013","Timaru District","Total people, sex","One year",477,
"2013","Timaru District","Total people, sex","Two years",507,
"2013","Timaru District","Total people, sex","Three years",543,
"2013","Timaru District","Total people, sex","Four years",525,
"2013","Timaru District","Total people, sex","Five years",537,
"2013","Timaru District","Total people, sex","Six years",522,
"2013","Timaru District","Total people, sex","Seven years",507,
"2013","Timaru District","Total people, sex","Eight years",462,
"2013","Timaru District","Total people, sex","Nine years",516,
"2013","Timaru District","Total people, sex","10 years",528,
"2013","Timaru District","Total people, sex","11 years",537,
"2013","Timaru District","Total people, sex","12 years",564,
"2013","Timaru District","Total people, sex","13 years",648,
"2013","Timaru District","Total people, sex","14 years",666,
"2013","Timaru District","Total people, sex","15 years",621,
"2013","Timaru District","Total people, sex","16 years",678,
"2013","Timaru District","Total people, sex","17 years",672,
"2013","Timaru District","Total people, sex","18 years",432,
"2013","Timaru District","Total people, sex","19 years",402,
"2013","Timaru District","Total people, sex","20 years",456,
"2013","Timaru District","Total people, sex","21 years",390,
"2013","Timaru District","Total people, sex","22 years",471,
"2013","Timaru District","Total people, sex","23 years",453,
"2013","Timaru District","Total people, sex","24 years",438,
"2013","Timaru District","Total people, sex","25 years",459,
"2013","Timaru District","Total people, sex","26 years",414,
"2013","Timaru District","Total people, sex","27 years",417,
"2013","Timaru District","Total people, sex","28 years",387,
"2013","Timaru District","Total people, sex","29 years",405,
"2013","Timaru District","Total people, sex","30 years",396,
