Area,Occupied dwelling type,Age group,Value,Flags
"Timaru District","Residential care for older people","Total people, age group",549,
"Timaru District","Private hospital","Total people, age group",0,
"Timaru District","Residential and community care facilities","Total people, age group",45,
"Timaru District","Residential care for older people","0-4 Years",,c
"Timaru District","Private hospital","0-4 Years",,c
"Timaru District","Residential and community care facilities","0-4 Years",,c
"Timaru District","Residential care for older people","5-9 Years",,c
"Timaru District","Private hospital","5-9 Years",,c
"Timaru District","Residential and community care facilities","5-9 Years",,c
"Timaru District","Residential care for older people","10-14 Years",,c
"Timaru District","Private hospital","10-14 Years",,c
"Timaru District","Residential and community care facilities","10-14 Years",,c
"Timaru District","Residential care for older people","15-19 Years",,c
"Timaru District","Private hospital","15-19 Years",,c
"Timaru District","Residential and community care facilities","15-19 Years",,c
"Timaru District","Residential care for older people","20-24 Years",,c
"Timaru District","Private hospital","20-24 Years",,c
"Timaru District","Residential and community care facilities","20-24 Years",,c
"Timaru District","Residential care for older people","25-29 Years",,c
"Timaru District","Private hospital","25-29 Years",,c
"Timaru District","Residential and community care facilities","25-29 Years",,c
"Timaru District","Residential care for older people","30-34 Years",,c
"Timaru District","Private hospital","30-34 Years",,c
"Timaru District","Residential and community care facilities","30-34 Years",,c
"Timaru District","Residential care for older people","35-39 Years",,c
"Timaru District","Private hospital","35-39 Years",,c
"Timaru District","Residential and community care facilities","35-39 Years",,c
"Timaru District","Residential care for older people","40-44 Years",,c
"Timaru District","Private hospital","40-44 Years",,c
"Timaru District","Residential and community care facilities","40-44 Years",6,
"Timaru District","Residential care for older people","45-49 Years",,c
"Timaru District","Private hospital","45-49 Years",,c
"Timaru District","Residential and community care facilities","45-49 Years",6,
"Timaru District","Residential care for older people","50-54 Years",,c
"Timaru District","Private hospital","50-54 Years",,c
"Timaru District","Residential and community care facilities","50-54 Years",,c
"Timaru District","Residential care for older people","55-59 Years",6,
"Timaru District","Private hospital","55-59 Years",,c
"Timaru District","Residential and community care facilities","55-59 Years",6,
"Timaru District","Residential care for older people","60-64 Years",9,
"Timaru District","Private hospital","60-64 Years",,c
"Timaru District","Residential and community care facilities","60-64 Years",,c
"Timaru District","Residential care for older people","65-69 Years",18,
"Timaru District","Private hospital","65-69 Years",,c
"Timaru District","Residential and community care facilities","65-69 Years",,c
"Timaru District","Residential care for older people","70-74 Years",39,
"Timaru District","Private hospital","70-74 Years",,c
"Timaru District","Residential and community care facilities","70-74 Years",,c
"Timaru District","Residential care for older people","75-79 Years",54,
"Timaru District","Private hospital","75-79 Years",,c
"Timaru District","Residential and community care facilities","75-79 Years",,c
"Timaru District","Residential care for older people","80-84 Years",120,
"Timaru District","Private hospital","80-84 Years",,c
"Timaru District","Residential and community care facilities","80-84 Years",,c
"Timaru District","Residential care for older people","85 Years And Over",297,
"Timaru District","Private hospital","85 Years And Over",,c
"Timaru District","Residential and community care facilities","85 Years And Over",,c
