Area,Occupied dwelling type,Age group,Value,Flags
"Timaru District","Residential care for older people","Total people, age group",549,
"Timaru District","Public hospital","Total people, age group",6,
"Timaru District","Private hospital","Total people, age group",0,
"Timaru District","Residential and community care facilities","Total people, age group",45,
"Timaru District","Welfare institution","Total people, age group",0,
"Timaru District","Educational institution","Total people, age group",54,
"Timaru District","Religious institution","Total people, age group",6,
"Timaru District","Prison or penal institution","Total people, age group",0,
"Timaru District","Defence establishment","Total people, age group",0,
"Timaru District","Night shelter","Total people, age group",0,
"Timaru District","Total usual residents in institutions","Total people, age group",663,
"Timaru District","Residential care for older people","0-4 Years",,c
"Timaru District","Public hospital","0-4 Years",,c
"Timaru District","Private hospital","0-4 Years",,c
"Timaru District","Residential and community care facilities","0-4 Years",,c
"Timaru District","Welfare institution","0-4 Years",,c
"Timaru District","Educational institution","0-4 Years",,c
"Timaru District","Religious institution","0-4 Years",,c
"Timaru District","Prison or penal institution","0-4 Years",,c
"Timaru District","Defence establishment","0-4 Years",,c
"Timaru District","Night shelter","0-4 Years",,c
"Timaru District","Total usual residents in institutions","0-4 Years",,c
"Timaru District","Residential care for older people","5-9 Years",,c
"Timaru District","Public hospital","5-9 Years",,c
"Timaru District","Private hospital","5-9 Years",,c
"Timaru District","Residential and community care facilities","5-9 Years",,c
"Timaru District","Welfare institution","5-9 Years",,c
"Timaru District","Educational institution","5-9 Years",,c
"Timaru District","Religious institution","5-9 Years",,c
"Timaru District","Prison or penal institution","5-9 Years",,c
"Timaru District","Defence establishment","5-9 Years",,c
"Timaru District","Night shelter","5-9 Years",,c
"Timaru District","Total usual residents in institutions","5-9 Years",,c
"Timaru District","Residential care for older people","10-14 Years",,c
"Timaru District","Public hospital","10-14 Years",,c
"Timaru District","Private hospital","10-14 Years",,c
"Timaru District","Residential and community care facilities","10-14 Years",,c
"Timaru District","Welfare institution","10-14 Years",,c
"Timaru District","Educational institution","10-14 Years",9,
"Timaru District","Religious institution","10-14 Years",,c
"Timaru District","Prison or penal institution","10-14 Years",,c
"Timaru District","Defence establishment","10-14 Years",,c
"Timaru District","Night shelter","10-14 Years",,c
"Timaru District","Total usual residents in institutions","10-14 Years",9,
"Timaru District","Residential care for older people","15-19 Years",,c
"Timaru District","Public hospital","15-19 Years",,c
"Timaru District","Private hospital","15-19 Years",,c
"Timaru District","Residential and community care facilities","15-19 Years",,c
"Timaru District","Welfare institution","15-19 Years",,c
"Timaru District","Educational institution","15-19 Years",18,
"Timaru District","Religious institution","15-19 Years",,c
"Timaru District","Prison or penal institution","15-19 Years",,c
"Timaru District","Defence establishment","15-19 Years",,c
"Timaru District","Night shelter","15-19 Years",,c
