Year,Area,Age group,Sex,Value,Flags
"2013","Timaru District","Total people, age group","Total people, sex",43929,
"2013","Timaru District","0-4 years","Total people, sex",2541,
"2013","Timaru District","5-9 years","Total people, sex",2544,
"2013","Timaru District","10-14 years","Total people, sex",2871,
"2013","Timaru District","15-19 years","Total people, sex",2706,
"2013","Timaru District","20-24 years","Total people, sex",2148,
"2013","Timaru District","25-29 years","Total people, sex",2010,
"2013","Timaru District","30-34 years","Total people, sex",1998,
"2013","Timaru District","35-39 years","Total people, sex",2403,
"2013","Timaru District","40-44 years","Total people, sex",2919,
"2013","Timaru District","45-49 years","Total people, sex",3186,
"2013","Timaru District","50-54 years","Total people, sex",3438,
"2013","Timaru District","55-59 years","Total people, sex",3084,
"2013","Timaru District","60-64 years","Total people, sex",3075,
"2013","Timaru District","65-69 years","Total people, sex",2589,
"2013","Timaru District","70-74 years","Total people, sex",2181,
"2013","Timaru District","75-79 years","Total people, sex",1668,
"2013","Timaru District","80-84 years","Total people, sex",1356,
"2013","Timaru District","85-89 years","Total people, sex",816,
"2013","Timaru District","90-94 years","Total people, sex",309,
"2013","Timaru District","95-99 years","Total people, sex",66,
"2013","Timaru District","100 years and over","Total people, sex",15,
