Year,Sex,Age,Area,Value,Flags
"2013","Female","30-34 years","Seaview",69,
"2013","Female","40-44 years","Seaview",69,
"2013","Female","65-69 years","Glenwood",51,
"2013","Male","70-74 years","Levels",90,
"2013","Female","95-99 years","Timaru Gardens",0,
"2013","Male","40-44 years","Winchester",9,
"2013","Female","45-49 years","Winchester",9,
"2013","Male","25-29 years","Levels",54,
"2013","Male","55-59 years","Fairview-Scarborough",24,
"2013","Female","80-84 years","Pleasant Point",12,
"2013","Male","55-59 years","Parkside",69,
"2013","Female","5-9 years","Geraldine",69,
"2013","Female","65-69 years","Pareora",12,
"2013","Female","95-99 years","Waimataitai",3,
"2013","Female","85-89 years","Seaview",42,
"2013","Male","95-99 years","Marchwiel",0,
"2013","Female","65-69 years","Watlington",45,
"2013","Male","55-59 years","Pleasant Point",51,
"2013","Female","25-29 years","Fraser Park",78,
"2013","Male","10-14 years","Highfield",108,
"2013","Male","70-74 years","Otipua Creek-Washdyke Flat",27,
"2013","Male","90-94 years","Orari",6,
"2013","Male","75-79 years","Winchester",6,
"2013","Male","80-84 years","Highfield",51,
"2013","Female","100 years and over","Ben Mcleod",,c
"2013","Male","45-49 years","Parkside",78,
"2013","Female","100 years and over","Redruth",,c
"2013","Female","60-64 years","Waimataitai",42,
"2013","Male","70-74 years","Glenwood",30,
"2013","Female","55-59 years","Winchester",,c
"2013","Male","30-34 years","Watlington",60,
"2013","Female","75-79 years","Seaview",60,
"2013","Female","45-49 years","Watlington",81,
"2013","Male","60-64 years","Marchwiel",111,
"2013","Female","5-9 years","Seaview",39,
"2013","Female","10-14 years","Redruth",,c
"2013","Male","25-29 years","Glenwood",33,
"2013","Female","95-99 years","Fairview-Scarborough",0,
"2013","Female","35-39 years","Maori Park",33,
"2013","Male","95-99 years","Redruth",,c
"2013","Female","85-89 years","Timaru Gardens",15,
"2013","Male","20-24 years","Parkside",87,
"2013","Female","75-79 years","Marchwiel",84,
"2013","Female","90-94 years","Gleniti",33,
"2013","Female","15-19 years","Waimataitai",24,
"2013","Male","90-94 years","Highfield",12,
"2013","Male","10-14 years","Inlet-Port Timaru",,c
"2013","Female","80-84 years","Maori Park",21,
"2013","Female","0-4 years","Maori Park",18,
"2013","Female","30-34 years","Marchwiel",102,
"2013","Male","5-9 years","Watlington",63,
"2013","Female","10-14 years","Ben Mcleod",,c
"2013","Female","100 years and over","Temuka",0,
"2013","Female","50-54 years","Highfield",126,
"2013","Female","60-64 years","Fairview-Scarborough",27,
"2013","Female","30-34 years","Temuka",90,
"2013","Male","0-4 years","Fairview-Scarborough",3,
"2013","Male","75-79 years","Watlington",24,
"2013","Male","60-64 years","Seaview",75,
"2013","Male","10-14 years","Orari",222,
"2013","Male","45-49 years","Waimataitai",36,
"2013","Female","10-14 years","Maori Park",27,
"2013","Male","65-69 years","Maori Park",36,
"2013","Male","25-29 years","Otipua Creek-Washdyke Flat",12,
"2013","Female","70-74 years","Fraser Park",93,
"2013","Male","100 years and over","Winchester",,c
"2013","Male","80-84 years","Fraser Park",42,
"2013","Male","65-69 years","Winchester",9,
"2013","Female","25-29 years","Highfield",78,
"2013","Female","70-74 years","Highfield",84,
"2013","Male","55-59 years","Fraser Park",84,
"2013","Male","15-19 years","Otipua Creek-Washdyke Flat",21,
"2013","Male","45-49 years","Fraser Park",78,
"2013","Female","90-94 years","Watlington",15,
"2013","Male","30-34 years","Gleniti",33,
"2013","Male","50-54 years","Temuka",141,
"2013","Male","20-24 years","Orari",117,
"2013","Female","20-24 years","Ben Mcleod",18,
"2013","Male","15-19 years","Marchwiel",123,
"2013","Male","15-19 years","Glenwood",54,
"2013","Male","85-89 years","Pareora",,c
"2013","Male","5-9 years","Pareora",18,
"2013","Male","70-74 years","Timaru Gardens",30,
"2013","Male","80-84 years","Fairview-Scarborough",3,
"2013","Female","0-4 years","Winchester",6,
"2013","Male","10-14 years","Fairview-Scarborough",21,
"2013","Male","75-79 years","Pareora",,c
"2013","Female","45-49 years","Gleniti",90,
"2013","Male","65-69 years","Parkside",48,
"2013","Male","100 years and over","Orari",0,
"2013","Female","40-44 years","Geraldine",72,
"2013","Female","25-29 years","Inlet-Port Timaru",,c
"2013","Female","80-84 years","Washdyke",9,
"2013","Female","15-19 years","Geraldine",57,
"2013","Female","85-89 years","Geraldine",48,
"2013","Female","0-4 years","Inlet-Port Timaru",,c
"2013","Female","80-84 years","Inlet-Port Timaru",,c
"2013","Female","60-64 years","Orari",168,
"2013","Female","70-74 years","Parkside",57,
"2013","Female","85-89 years","Levels",12,
"2013","Female","20-24 years","Pareora",6,
"2013","Female","35-39 years","Washdyke",21,
"2013","Female","20-24 years","Marchwiel",108,
"2013","Female","95-99 years","Geraldine",3,
"2013","Female","70-74 years","Inlet-Port Timaru",,c
"2013","Female","15-19 years","Fraser Park",87,
"2013","Female","90-94 years","Maori Park",0,
"2013","Male","65-69 years","Inlet-Port Timaru",,c
"2013","Female","55-59 years","Ben Mcleod",,c
"2013","Male","100 years and over","Pleasant Point",0,
"2013","Female","5-9 years","Waimataitai",27,
"2013","Female","35-39 years","Parkside",72,
"2013","Male","25-29 years","Timaru Gardens",60,
"2013","Male","40-44 years","Pareora",18,
"2013","Female","0-4 years","Washdyke",12,
"2013","Female","70-74 years","Washdyke",21,
"2013","Male","20-24 years","Pleasant Point",30,
"2013","Female","80-84 years","Parkside",36,
"2013","Female","55-59 years","Pareora",15,
"2013","Female","95-99 years","Levels",0,
"2013","Male","40-44 years","Ben Mcleod",,c
"2013","Male","65-69 years","Washdyke",36,
"2013","Male","50-54 years","Redruth",,c
"2013","Male","85-89 years","Ben Mcleod",,c
"2013","Male","35-39 years","Timaru Gardens",39,
"2013","Female","35-39 years","Inlet-Port Timaru",,c
"2013","Male","40-44 years","Orari",156,
"2013","Female","35-39 years","Redruth",,c
"2013","Female","90-94 years","Washdyke",0,
"2013","Female","30-34 years","Glenwood",45,
"2013","Female","100 years and over","Pareora",,c
"2013","Male","90-94 years","Parkside",3,
"2013","Male","75-79 years","Gleniti",48,
"2013","Female","80-84 years","Winchester",,c
"2013","Female","75-79 years","Glenwood",51,
"2013","Male","85-89 years","Gleniti",24,
"2013","Male","90-94 years","Fairview-Scarborough",0,
"2013","Male","60-64 years","Levels",174,
"2013","Female","10-14 years","Winchester",15,
"2013","Male","25-29 years","Geraldine",36,
"2013","Male","10-14 years","Parkside",81,
"2013","Male","5-9 years","Redruth",,c
"2013","Male","0-4 years","Fraser Park",93,
"2013","Male","0-4 years","Geraldine",66,
"2013","Male","55-59 years","Washdyke",39,
"2013","Male","10-14 years","Pleasant Point",51,
"2013","Male","55-59 years","Inlet-Port Timaru",,c
"2013","Female","100 years and over","Watlington",3,
"2013","Male","20-24 years","Maori Park",33,
"2013","Male","5-9 years","Temuka",120,
"2013","Male","70-74 years","Geraldine",75,
"2013","Male","75-79 years","Ben Mcleod",,c
"2013","Male","95-99 years","Otipua Creek-Washdyke Flat",0,
"2013","Female","65-69 years","Redruth",,c
"2013","Male","75-79 years","Maori Park",27,
"2013","Female","60-64 years","Fraser Park",81,
"2013","Female","40-44 years","Glenwood",60,
"2013","Male","45-49 years","Highfield",108,
"2013","Male","5-9 years","Ben Mcleod",,c
"2013","Male","55-59 years","Orari",192,
"2013","Female","50-54 years","Timaru Gardens",63,
"2013","Female","30-34 years","Otipua Creek-Washdyke Flat",9,
"2013","Male","60-64 years","Glenwood",48,
"2013","Female","50-54 years","Waimataitai",45,
"2013","Female","55-59 years","Gleniti",84,
"2013","Female","70-74 years","Fairview-Scarborough",12,
"2013","Female","95-99 years","Highfield",9,
"2013","Female","90-94 years","Winchester",,c
"2013","Female","5-9 years","Levels",120,
"2013","Male","40-44 years","Gleniti",75,
"2013","Female","40-44 years","Otipua Creek-Washdyke Flat",33,
"2013","Female","10-14 years","Watlington",63,
"2013","Female","75-79 years","Levels",33,
"2013","Male","45-49 years","Orari",156,
"2013","Male","60-64 years","Otipua Creek-Washdyke Flat",27,
"2013","Male","30-34 years","Ben Mcleod",6,
"2013","Male","25-29 years","Seaview",102,
"2013","Female","10-14 years","Pareora",24,
"2013","Female","40-44 years","Levels",153,
"2013","Male","30-34 years","Maori Park",24,
"2013","Male","95-99 years","Glenwood",3,
"2013","Female","5-9 years","Otipua Creek-Washdyke Flat",15,
"2013","Male","80-84 years","Timaru Gardens",9,
"2013","Male","90-94 years","Waimataitai",0,
"2013","Female","25-29 years","Parkside",66,
"2013","Male","5-9 years","Marchwiel",129,
"2013","Male","95-99 years","Pareora",,c
"2013","Female","45-49 years","Maori Park",27,
"2013","Female","45-49 years","Ben Mcleod",,c
"2013","Male","80-84 years","Waimataitai",24,
"2013","Female","15-19 years","Highfield",150,
"2013","Male","100 years and over","Fraser Park",0,
"2013","Male","70-74 years","Seaview",54,
"2013","Female","25-29 years","Fairview-Scarborough",9,
